time_s,Fp,F3,F4,Cz,T3,T4,O1,O2
0.200000,17.1661,5.8115,-4.2915,-25.1234,7.9572,-20.0272,-2.7716,-10.9971
0.204000,27.1797,9.9242,1.6093,-15.7356,6.4373,-17.0767,-7.0632,-1.3411
0.208000,33.3488,14.5733,-0.7153,-18.9543,-1.6093,-14.1263,-7.3314,8.3148
0.212000,33.5276,18.7755,-0.8047,-20.2954,-7.5102,-17.3450,-2.0564,8.7619
0.216000,30.3984,25.8386,1.6987,-17.3450,-6.1691,-19.7589,-4.4703,4.8280
0.220000,24.8551,16.8979,11.4441,-11.0865,5.8115,-20.4742,-10.9971,5.7220
0.224000,20.6530,12.4276,17.3450,3.7551,11.1759,-14.5733,-19.8483,14.9310
0.228000,15.9144,14.7521,11.3547,10.2818,4.4703,-10.1030,-20.2060,20.1166
0.232000,8.7619,18.7755,2.4140,11.8017,0.7153,-12.0699,-18.1496,15.1992
0.236000,-1.2517,27.1797,-2.3246,10.8182,-0.6258,-16.9873,-9.9242,9.5665
0.240000,-7.0632,27.6268,1.5199,14.3945,4.8280,-19.4907,-10.1924,11.6229
0.244000,-3.0398,30.1301,6.9737,20.6530,0.0000,-18.8649,-12.8746,17.9708
0.248000,2.7716,29.2361,5.2750,18.0602,-11.0865,-10.4606,-11.1759,25.7492
0.252000,2.8610,29.6831,4.5598,7.5102,-18.5072,-1.0729,-6.9737,24.7657
0.256000,-0.8941,27.2691,7.7784,-6.0797,-15.3780,0.0894,-7.5996,18.4178
0.260000,-5.2750,23.1564,18.0602,-5.5432,-6.8843,4.2021,-8.0466,14.9310
0.264000,-4.1127,13.6793,25.1234,-3.0398,-2.5034,12.2488,-15.5568,13.7687
0.268000,-6.0797,4.3809,19.8483,-2.7716,-7.7784,18.0602,-21.0106,9.2983
0.272000,-10.7288,-0.2682,11.9805,-7.9572,-11.1759,16.5403,-18.6861,0.4470
0.276000,-13.0534,0.7153,12.2488,-12.6064,-9.0301,13.5899,-15.9144,-10.6394
0.280000,-12.5170,-0.0894,15.4674,-8.5831,-3.3975,5.6326,-14.8416,-14.7521
0.284000,-9.3877,-1.6987,13.3216,-2.9504,-6.9737,0.6258,-11.8911,-7.4208
0.288000,-1.1623,-2.1458,9.2983,-4.0233,-17.1661,4.2021,-4.4703,2.2352
0.292000,4.7386,1.3411,2.1458,-11.9805,-29.9513,7.4208,2.5928,6.9737
0.296000,11.8017,0.1788,5.7220,-19.4907,-29.1467,-0.7153,8.9407,1.4305
0.300000,14.4839,-11.3547,15.2886,-23.8717,-21.1000,-1.8775,2.7716,8.4937
0.304000,16.2721,-11.0865,10.5500,-17.0767,-23.5140,6.5267,4.2021,12.6064
0.308000,19.2225,-11.3547,2.3246,-22.7988,-22.6200,11.1759,9.4771,8.4937
0.312000,11.5335,-5.7220,-4.1127,-26.8221,-20.9212,2.8610,12.4276,-4.6492
0.316000,5.7220,-5.3644,-11.3547,-23.1564,-13.2322,-4.9174,4.2021,-7.1526
0.320000,8.3148,-3.9339,-12.6958,-10.9076,-7.3314,-4.2021,-0.0000,-0.6258
0.324000,15.8250,1.0729,-17.4344,-1.2517,-9.5665,-2.0564,4.4703,7.5996
0.328000,19.4013,10.9971,-25.3916,-4.6492,-15.7356,-3.5763,13.4110,4.3809
0.332000,19.2225,14.8416,-25.3022,-14.4839,-23.0670,-4.1127,16.0933,1.2517
0.336000,13.2322,14.8416,-19.6695,-21.9941,-16.8085,-4.5598,10.5500,0.8941
0.340000,17.6132,10.3712,-17.9708,-14.2157,-7.8678,0.5364,5.9903,11.2653
0.344000,22.4411,7.7784,-22.6200,-12.0699,-4.1127,12.2488,6.8843,22.8882
0.348000,22.2623,8.7619,-26.0174,-14.3945,0.8941,12.7852,8.1360,27.8950
0.352000,10.4606,10.9076,-29.2361,-19.2225,11.3547,11.6229,-0.5364,13.1428
0.356000,-2.9504,9.2983,-27.1797,-16.1827,23.9611,7.5996,-11.6229,5.2750
0.360000,-10.7288,10.1924,-34.5111,-1.6987,33.5276,6.6161,-20.8318,7.2420
0.364000,-9.2983,12.1593,-42.1107,13.3216,32.0971,11.9805,-18.9543,9.2983
0.368000,-5.0962,22.7988,-45.1505,16.9873,30.6666,4.4703,-13.5899,6.0797
0.372000,-9.9242,22.8882,-43.4518,13.7687,29.3255,-5.2750,-9.4771,-4.3809
0.376000,-10.5500,26.7327,-36.2992,13.8581,30.3984,-11.8911,-10.4606,-8.4937
0.380000,-2.5928,23.4246,-31.3818,17.6132,32.2759,-6.1691,-8.9407,5.9009
0.384000,6.4373,22.6200,-35.9416,24.4081,27.7162,1.5199,-2.5928,18.6861
0.388000,12.9640,29.2361,-29.2361,23.1564,23.7823,1.3411,7.4208,20.4742
0.392000,6.4373,27.3585,-24.1399,14.3945,26.0174,6.7949,8.6725,15.2886
0.396000,-1.2517,21.9047,-14.4839,13.5005,31.3818,7.0632,2.4140,10.8182
0.400000,-7.6890,14.2157,-20.4742,29.9513,29.0573,20.9212,1.2517,16.5403
0.404000,-6.4373,25.7492,-22.5306,35.7628,26.3751,24.8551,10.6394,14.9310
0.408000,-7.6890,29.6831,-18.4178,30.6666,21.1895,13.5005,11.1759,2.9504
0.412000,-9.3877,24.7657,-16.7191,20.9212,17.4344,6.6161,5.2750,-0.5364
0.416000,-12.5170,20.4742,-12.2488,15.6462,13.5005,7.5102,6.1691,-0.0000
0.420000,-0.0000,18.0602,-17.7026,12.0699,3.9339,17.5238,18.2390,8.8513
0.424000,7.0632,17.6132,-13.6793,1.4305,0.0000,26.6433,24.4975,15.0204
0.428000,5.4538,14.3051,-4.7386,-15.5568,-5.7220,24.5869,25.3022,10.9076
0.432000,-1.4305,0.8047,-3.4869,-27.9844,-3.5763,25.1234,17.9708,3.3081
0.436000,1.3411,-16.2721,-4.5598,-31.3818,1.8775,32.6335,12.5170,8.7619
0.440000,2.2352,-14.7521,-9.5665,-26.3751,1.9670,47.5645,18.5966,12.9640
0.444000,8.1360,-8.2254,-11.5335,-20.6530,3.0398,51.5878,24.4975,6.3479
0.448000,7.5102,-11.0865,-13.0534,-19.6695,3.7551,43.1836,25.1234,-1.5199
0.452000,2.9504,-19.6695,-12.1593,-33.5276,0.2682,35.7628,20.0272,-12.4276
0.456000,4.8280,-22.6200,-12.2488,-36.7463,-0.8941,30.5772,15.8250,-9.3877
0.460000,15.8250,-15.5568,-17.7920,-32.8124,-5.6326,29.5937,27.5373,-0.9835
0.464000,25.3022,-5.2750,-18.8649,-31.1136,-8.4043,30.4878,37.1933,4.0233
0.468000,33.5276,-1.1623,-10.3712,-35.1369,-14.0369,25.6598,44.7929,5.3644
0.472000,34.1535,-3.8445,-6.7055,-42.7365,-11.9805,21.1000,34.7793,9.4771
0.476000,32.0077,-8.4043,-7.1526,-42.7365,-6.9737,23.9611,23.2458,14.5733
0.480000,38.4450,-10.1924,-13.9475,-26.5539,-0.0894,35.4946,24.5869,27.7162
0.484000,41.7531,-1.6093,-18.6861,-19.0437,-1.7881,32.3653,33.1700,31.1136
0.488000,32.7229,3.5763,-21.6365,-12.8746,-0.8047,20.4742,34.4217,21.9941
0.492000,19.6695,0.0894,-26.7327,-13.1428,3.5763,7.4208,23.4246,11.7123
0.496000,14.7521,-2.4140,-32.0971,-8.3148,2.8610,4.1127,13.2322,9.8348
0.500000,24.9445,16.8085,-44.7035,2.6822,-8.7619,6.7055,20.9212,16.6297
0.504000,27.2691,24.9445,-37.3721,-0.8047,-10.4606,-1.9670,28.0738,14.2157
0.508000,21.5471,21.7259,-34.1535,-10.8182,-4.4703,-2.9504,21.9047,11.0865
0.512000,20.5636,15.6462,-27.6268,-16.0933,1.4305,0.3576,15.6462,10.2818
0.516000,21.3683,11.2653,-34.0641,-15.6462,4.3809,11.1759,16.0933,17.4344
0.520000,13.5005,14.3945,-31.9183,-8.4937,5.0068,15.5568,15.9144,22.9776
0.524000,8.4043,13.1428,-25.4810,-0.6258,12.0699,15.4674,12.5170,15.3780
0.528000,-6.2585,1.8775,-18.0602,-1.9670,19.2225,9.7454,2.7716,9.5665
0.532000,-13.7687,-2.5928,-22.7094,-0.7153,22.6200,13.2322,-11.2653,0.2682
0.536000,-13.7687,-4.7386,-22.5306,10.0136,18.7755,14.6627,-13.5899,-1.7881
0.540000,-11.0865,-0.1788,-16.6297,19.4013,15.2886,12.7852,-1.4305,-5.7220
0.544000,-7.4208,7.0632,-8.1360,14.5733,13.9475,4.9174,7.6890,-15.4674
0.548000,-12.3382,9.1195,2.9504,6.9737,13.1428,-0.0894,4.0233,-23.6928
0.552000,-7.7784,4.5598,3.0398,1.3411,7.5102,2.1458,-2.5928,-25.4810
0.556000,0.0894,3.3081,4.8280,1.2517,-2.5034,8.2254,2.9504,-20.8318
0.560000,4.8280,6.0797,10.8182,9.3877,-11.3547,14.5733,11.3547,-16.0038
0.564000,2.5034,7.0632,19.2225,9.1195,-10.5500,14.4839,16.1827,-19.9378
0.568000,-5.8115,3.0398,24.6763,10.9076,-6.9737,13.3216,13.8581,-22.9776
0.572000,-10.4606,-9.7454,16.7191,8.3148,-13.5899,13.7687,6.5267,-29.0573
0.576000,-8.4043,-14.6627,10.9076,15.1992,-24.2293,20.4742,0.7153,-20.2060
0.580000,-2.5928,-9.8348,9.8348,22.7988,-31.8289,21.7259,8.0466,-16.2721
0.584000,-0.1788,0.3576,14.8416,20.8318,-31.0242,17.1661,14.7521,-21.7259
0.588000,0.9835,1.8775,17.3450,8.1360,-29.8619,11.1759,13.5005,-29.6831
0.592000,3.9339,-2.9504,14.3945,-2.8610,-37.6403,9.7454,10.7288,-28.6102
0.596000,10.6394,-0.9835,4.9174,-8.7619,-42.0213,6.9737,11.9805,-17.6132
0.600000,14.5733,0.0894,13.6793,-17.0767,-43.1836,6.9737,27.5373,-11.2653
0.604000,10.2818,-0.8941,18.6861,-26.4645,-33.4382,10.2818,23.0670,-11.6229
0.608000,6.0797,-7.0632,10.9971,-32.3653,-28.4314,17.9708,12.5170,-9.2983
0.612000,10.0136,-16.4509,0.6258,-24.4081,-30.4878,22.2623,4.7386,-9.4771
0.616000,6.7055,-15.6462,-7.5102,-19.1331,-25.2128,18.7755,4.4703,-12.7852
0.620000,2.3246,-11.2653,-6.1691,-14.8416,-14.0369,15.6462,7.7784,-17.5238
0.624000,5.8115,-5.9009,-6.0797,-17.2555,-5.1856,9.9242,7.1526,-21.3683
0.628000,6.9737,-5.8115,-11.1759,-18.1496,-5.6326,3.3975,-0.2682,-20.2060
0.632000,12.7852,-2.8610,-20.8318,-19.2225,-9.4771,-2.5928,-3.7551,-15.4674
0.636000,19.7589,11.8017,-21.2789,-16.8085,-9.0301,-9.2089,5.1856,-16.2721
0.640000,25.9280,25.5704,-9.9242,-19.8483,-4.0233,-16.2721,16.5403,-15.1992
0.644000,27.6268,27.9844,-3.4869,-30.7560,2.5034,-16.6297,18.6861,-6.6161
0.648000,23.5140,24.4081,-6.0797,-31.8289,3.0398,-18.0602,9.3877,6.6161
0.652000,22.8882,20.6530,-16.0038,-23.4246,1.1623,-14.8416,5.0068,14.1263
0.656000,18.2390,23.5140,-14.3051,-15.0204,-3.9339,-15.1992,7.5996,17.4344
0.660000,12.7852,26.6433,-5.2750,-7.0632,0.5364,-16.5403,10.4606,15.5568
0.664000,0.9835,28.9679,-4.7386,-3.2187,10.7288,-16.9873,8.7619,14.4839
0.668000,-4.2915,31.0242,-10.9971,1.8775,10.1924,-20.7424,-6.5267,14.8416
0.672000,-6.5267,28.8785,-17.8814,3.2187,-3.2187,-20.2954,-11.1759,14.7521
0.676000,-6.9737,29.4149,-19.8483,4.7386,-7.8678,-18.2390,-8.6725,12.6064
0.680000,-6.3479,41.1272,-7.5102,3.4869,-4.4703,-18.0602,-1.3411,6.7949
0.684000,-6.3479,50.5149,4.4703,1.7881,-3.2187,-16.1827,-4.5598,3.3081
0.688000,-9.3877,48.2798,7.2420,-5.7220,-4.2915,-7.2420,-3.5763,9.0301
0.692000,-8.3148,37.9980,4.8280,-3.7551,-11.5335,-0.9835,-1.1623,11.9805
0.696000,-11.0865,34.5111,8.2254,3.1292,-14.6627,6.8843,2.1458,7.4208
0.700000,-23.9611,28.9679,20.7424,-0.6258,1.3411,8.5831,-0.9835,-5.8115
0.704000,-26.1068,20.8318,16.1827,7.0632,5.2750,15.0204,-11.5335,-3.7551
0.708000,-21.8153,13.4110,12.5170,9.0301,2.5034,13.1428,-11.6229,-4.3809
0.712000,-21.9941,11.3547,10.1030,8.5831,-6.9737,11.5335,-12.2488,-13.6793
0.716000,-15.7356,12.7852,16.7191,3.8445,-6.7055,5.4538,-14.0369,-25.8386
0.720000,-7.4208,17.3450,27.9844,-3.9339,-6.6161,4.2021,-6.7055,-31.5607
0.724000,3.0398,16.8085,27.5373,-9.7454,-7.5102,10.2818,-4.0233,-19.0437
0.728000,10.0136,7.7784,27.7162,-10.6394,-19.4013,19.9378,1.1623,-15.3780
0.732000,15.1992,6.5267,33.5276,-13.8581,-29.6831,19.3119,10.5500,-14.7521
0.736000,12.4276,4.2021,37.3721,-15.8250,-24.8551,14.6627,21.1895,-15.3780
0.740000,9.2983,4.7386,40.7696,-12.6958,-15.3780,12.4276,23.0670,-11.7123
0.744000,13.0534,-5.6326,31.3818,-9.3877,-8.4043,16.5403,23.1564,-5.3644
0.748000,16.3615,-16.4509,16.4509,-2.5928,-12.9640,17.7920,23.0670,-0.5364
0.752000,17.7920,-14.6627,6.1691,5.1856,-17.3450,8.3148,20.1166,-2.5034
0.756000,11.1759,-11.8017,3.6657,6.7949,-15.9144,0.8941,20.6530,-5.0962
0.760000,12.0699,-3.3975,2.2352,3.3975,-12.8746,-1.1623,22.4411,-6.7055
0.764000,13.5899,-2.7716,-4.2915,-2.7716,-8.9407,7.2420,20.7424,1.3411
0.768000,19.6695,-6.9737,-10.8182,-4.5598,-14.4839,12.3382,20.2954,0.4470
0.772000,22.9776,-6.1691,-14.2157,-9.7454,-19.4907,12.8746,31.1136,2.4140
0.776000,24.2293,-1.3411,-13.5005,-16.9873,-19.2225,10.7288,38.8920,1.6093
0.780000,23.9611,3.6657,-6.7949,-25.0340,-11.0865,15.2886,38.8920,2.0564
0.784000,19.5801,-5.2750,-9.2983,-25.2128,0.3576,26.4645,33.6170,10.7288
0.788000,12.8746,-11.7123,-15.1992,-24.0505,3.5763,34.0641,25.8386,18.8649
0.792000,5.9903,-20.8318,-16.8085,-17.6132,0.9835,24.6763,22.4411,10.7288
0.796000,1.6987,-18.9543,-11.5335,-11.9805,11.6229,16.7191,20.7424,5.2750
0.800000,-2.6822,-17.0767,-15.2886,-12.5170,27.8950,9.3877,8.2254,4.9174
0.804000,7.2420,-14.2157,-17.3450,-9.4771,29.1467,11.0865,1.8775,7.1526
0.808000,11.2653,-6.6161,-12.3382,0.8047,27.0009,5.8115,1.0729,-0.5364
0.812000,10.9076,-6.0797,-6.7055,2.0564,21.3683,0.0894,4.7386,-4.1127
0.816000,11.4441,0.0894,-1.3411,-3.5763,26.3751,3.0398,7.5102,-1.4305
0.820000,12.2488,7.8678,2.8610,-5.8115,30.5772,18.5966,10.4606,12.2488
0.824000,17.8814,9.2089,9.6560,1.0729,30.6666,29.7725,16.4509,21.3683
0.828000,11.2653,5.5432,9.3877,12.2488,29.7725,31.7395,19.5801,19.7589
0.832000,3.3975,6.9737,12.8746,18.5072,25.4810,24.1399,20.2060,14.3051
0.836000,-8.4937,3.6657,9.5665,21.1895,28.9679,24.9445,15.3780,10.6394
0.840000,-9.5665,-2.0564,7.4208,22.6200,32.3653,27.0903,7.2420,9.4771
0.844000,-5.1856,-5.2750,-1.0729,35.2263,24.7657,26.5539,11.6229,10.2818
0.848000,1.9670,-13.3216,3.4869,40.5014,13.3216,23.2458,11.9805,5.6326
0.852000,0.6258,-9.9242,6.4373,31.4713,6.4373,20.5636,15.6462,-6.0797
0.856000,-2.5034,-4.0233,14.3051,17.8814,3.4869,31.2030,10.3712,-7.8678
0.860000,-1.1623,0.3576,15.1992,4.0233,-0.0000,43.1836,11.4441,-3.6657
0.864000,2.5928,-7.8678,11.9805,0.8941,-6.5267,55.6111,15.9144,7.6890
0.868000,-0.9835,-11.8911,17.9708,5.6326,-7.7784,54.9853,26.5539,7.3314
0.872000,-5.3644,-15.4674,21.3683,3.3975,-6.4373,49.8891,29.6831,-1.0729
0.876000,-14.6627,-20.8318,28.4314,-3.2187,2.5034,48.9056,25.4810,-7.5102
0.880000,-13.9475,-26.1962,23.2458,-2.3246,8.3148,54.6277,20.8318,-1.7881
0.884000,-8.7619,-32.6335,17.4344,7.7784,6.1691,56.2370,21.2789,0.1788
0.888000,-4.9174,-36.3886,16.9873,12.1593,1.8775,45.5976,21.7259,-10.9076
0.892000,-1.1623,-35.2263,21.9047,11.5335,2.6822,34.5111,21.0106,-22.6200
0.896000,-0.9835,-36.2992,23.5140,0.6258,5.2750,31.7395,17.7026,-24.6763
0.900000,18.9543,-25.9280,23.0670,-10.9971,-1.5199,36.7463,22.0835,-7.5102
0.904000,31.8289,-22.6200,28.6996,-11.5335,-5.4538,33.1700,33.5276,-2.7716
0.908000,29.2361,-15.8250,35.2263,-12.7852,0.0894,25.0340,35.2263,-1.9670
0.912000,21.9941,-9.6560,33.2594,-15.9144,6.2585,21.5471,32.8124,-0.6258
0.916000,15.0204,-10.2818,22.3517,-12.2488,9.1195,25.3916,23.3352,9.4771
0.920000,15.8250,-11.0865,11.7123,1.5199,1.9670,20.8318,29.3255,17.6132
0.924000,18.7755,-8.8513,14.0369,11.1759,2.5928,11.4441,34.8687,15.1992
0.928000,9.7454,-8.8513,11.8911,13.6793,8.2254,-3.1292,29.0573,6.6161
0.932000,4.2021,-2.5928,4.0233,4.5598,11.4441,-10.3712,18.5966,6.6161
0.936000,3.9339,-2.5928,-1.0729,1.2517,10.2818,-9.3877,7.5102,10.9076
0.940000,10.5500,-3.3975,-5.6326,4.4703,3.7551,-4.4703,8.9407,12.1593
0.944000,15.4674,1.3411,-0.2682,7.1526,4.8280,-5.2750,14.3051,6.8843
0.948000,16.8085,10.2818,6.6161,-0.4470,6.7055,-5.0962,18.8649,-0.3576
0.952000,3.9339,14.4839,8.7619,-11.0865,14.3051,0.2682,13.6793,-1.0729
0.956000,-2.5928,15.0204,6.3479,-16.9873,18.5966,5.8115,1.9670,9.2983
0.960000,0.3576,13.4110,6.9737,-4.2915,17.0767,14.2157,-2.6822,13.5899
0.964000,-0.2682,12.0699,13.0534,10.5500,20.0272,10.4606,0.0000,9.8348
0.968000,-6.4373,7.5102,19.1331,12.9640,26.0174,1.7881,-5.4538,2.7716
0.972000,-18.0602,2.9504,14.9310,7.5102,26.8221,-1.4305,-15.4674,-7.5102
0.976000,-16.8085,4.3809,5.0962,8.4937,24.4081,0.8047,-33.8852,-5.6326
0.980000,-10.4606,5.0068,8.3148,10.1030,16.0933,0.1788,-31.8289,-3.6657
0.984000,1.3411,6.7055,19.3119,12.6958,11.0865,-2.4140,-23.5140,-8.9407
0.988000,13.0534,22.9776,30.9348,-9.1195,25.6598,-14.5733,-38.1768,-52.5713
0.992000,-7.5996,11.9805,7.9572,11.1759,5.2750,9.3877,-26.1962,-23.1564
0.996000,-28.1632,-2.9504,36.7463,5.1856,15.5568,0.8941,-23.4246,0.0000
1.000000,7.6890,14.8416,61.1544,-0.9835,-6.7055,0.7153,-17.7920,-20.2060
1.004000,-9.2089,9.0301,43.0942,4.5598,22.8882,6.7055,-15.1098,-0.7153
1.008000,-18.1496,20.1166,43.8988,13.8581,-3.3975,-1.9670,17.3450,-3.5763
1.012000,-14.6627,-5.2750,47.4751,10.9076,-10.8182,13.2322,-19.6695,-4.4703
1.016000,-3.6657,-16.8979,24.4975,7.7784,-17.9708,-0.8047,-21.1895,-4.2021
1.020000,2.5928,-6.7949,27.8056,16.5403,-27.2691,-3.7551,-11.7123,-8.5831
1.024000,8.9407,0.8941,40.0543,3.0398,-27.0009,-7.7784,2.7716,-20.7424
1.028000,8.5831,-6.7949,36.3886,-2.4140,-32.7229,-7.9572,-11.2653,-5.1856
1.032000,6.9737,-11.9805,32.0971,-22.7988,-42.2895,7.1526,-9.8348,-8.6725
1.036000,13.1428,-14.2157,30.8454,-30.7560,-42.4683,12.4276,-2.6822,-1.4305
1.040000,19.3119,-16.8979,38.1768,-35.8522,-39.2497,11.3547,13.2322,3.3975
1.044000,18.1496,-18.5072,39.6073,-30.6666,-24.4081,15.1992,20.1166,2.9504
1.048000,15.4674,-18.6861,35.4946,-34.6899,-17.3450,11.9805,12.6064,2.5928
1.052000,6.3479,-25.6598,22.7094,-33.9746,-7.4208,13.5899,-2.6822,2.5928
1.056000,5.9009,-37.3721,18.2390,-30.5772,-3.8445,8.0466,-10.1030,5.0962
1.060000,16.8979,-40.4119,18.6861,-20.5636,-3.7551,-2.0564,-4.9174,1.3411
1.064000,23.6928,-37.3721,20.9212,-19.3119,0.0894,-8.6725,-5.1856,-10.1030
1.068000,22.9776,-32.2759,16.1827,-25.3916,5.3644,-11.9805,-8.6725,-9.8348
1.072000,27.9844,-31.0242,5.3644,-36.6569,8.4937,-13.6793,-20.8318,-2.0564
1.076000,36.0310,-31.4713,3.1292,-40.9484,8.0466,-19.4013,-21.0106,-2.0564
1.080000,42.0213,-24.6763,11.8911,-38.2662,10.9971,-21.0106,-8.7619,-1.8775
1.084000,44.7929,-10.9076,19.2225,-35.4946,12.9640,-22.0835,3.1292,1.4305
1.088000,41.3954,-6.2585,19.6695,-36.0310,20.1166,-22.5306,-0.0894,9.9242
1.092000,26.8221,-8.5831,8.1360,-33.6170,33.6170,-20.6530,-6.3479,16.9873
1.096000,20.9212,-10.5500,0.0894,-23.1564,33.9746,-22.5306,-10.0136,14.6627
1.100000,24.4081,-8.5831,3.0398,9.1195,31.4713,-34.5111,-2.3246,10.6394
1.104000,21.9941,-2.2352,0.2682,15.4674,33.0806,-29.3255,-8.4937,14.8416
1.108000,15.0204,-6.9737,-12.6064,8.3148,37.5509,-27.8950,-21.0106,14.7521
1.112000,15.3780,-11.0865,-19.5801,2.6822,26.1068,-30.2196,-22.3517,11.3547
1.116000,16.9873,-9.2089,-17.1661,2.0564,11.9805,-30.6666,-15.4674,5.8115
1.120000,20.2060,-0.8047,-9.6560,0.6258,11.6229,-23.3352,-4.2915,5.0068
1.124000,16.6297,5.9903,-4.6492,-4.0233,17.3450,-11.0865,-3.1292,14.0369
1.128000,5.6326,-1.5199,-5.0068,-6.4373,26.0174,-3.7551,-6.2585,22.1729
1.132000,2.2352,-5.4538,-3.8445,-12.0699,26.5539,-2.9504,-11.1759,15.4674
1.136000,-2.3246,-12.8746,4.2021,-0.1788,25.6598,-2.6822,-7.3314,6.3479
1.140000,2.1458,-10.9971,11.6229,9.6560,27.8950,1.7881,-6.9737,0.4470
1.144000,-0.6258,-10.4606,10.9076,13.1428,37.2827,4.6492,-10.7288,-0.8047
