time_s,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8
0.104000,8.1360,-7.9572,-11.4441,1.8775,23.2458,41.2166,-26.7327,-5.8115
0.108000,5.7220,-10.2818,-13.1428,1.3411,27.0903,34.7793,-29.5937,-12.3382
0.112000,-0.8941,-11.4441,-15.1098,-2.1458,30.3984,25.3022,-31.1136,-22.7988
0.116000,-2.7716,-9.2983,-10.4606,-0.8047,30.1301,15.7356,-29.4149,-29.3255
0.120000,6.3479,-8.5831,-4.3809,5.5432,29.5937,11.4441,-24.7657,-28.0738
0.124000,14.7521,-2.5928,0.0894,10.1924,23.4246,7.2420,-15.1992,-21.1895
0.128000,20.3848,-1.4305,0.3576,3.2187,14.1263,0.1788,-9.3877,-17.3450
0.132000,19.5801,-5.4538,6.2585,-4.2021,4.6492,-4.1127,-0.3576,-18.7755
0.136000,16.6297,-7.9572,11.9805,-7.0632,-1.2517,-8.4043,7.3314,-18.7755
0.140000,17.9708,-11.8911,21.8153,0.6258,-0.8941,-7.1526,13.9475,-16.1827
0.144000,20.7424,-15.1992,20.8318,5.5432,-4.6492,-2.3246,20.3848,-7.4208
0.148000,17.2555,-14.1263,15.2886,10.9076,-12.0699,-5.9009,23.2458,0.5364
0.152000,12.4276,-14.1263,7.4208,11.6229,-16.8085,-8.1360,25.9280,0.1788
0.156000,5.6326,-14.3051,0.3576,13.9475,-17.7026,-7.9572,29.5043,4.8280
0.160000,4.0233,-8.9407,1.5199,17.8814,-16.8085,-3.5763,35.0475,8.7619
0.164000,6.3479,-6.1691,-3.3975,23.8717,-18.7755,-1.7881,35.9416,11.4441
0.168000,6.1691,-4.5598,-10.1924,24.7657,-27.0009,3.2187,36.0310,17.8814
0.172000,8.3148,-2.7716,-16.8979,17.7920,-30.9348,4.7386,35.2263,16.9873
0.176000,9.0301,-1.6093,-15.7356,8.1360,-32.0971,8.9407,34.4217,16.5403
0.180000,11.2653,1.5199,-15.7356,1.9670,-30.4878,15.6462,28.6996,14.1263
0.184000,12.8746,1.5199,-9.0301,-1.4305,-22.3517,21.3683,17.9708,12.8746
0.188000,12.5170,-2.5928,-2.3246,-7.4208,-14.2157,30.7560,9.5665,10.9076
0.192000,14.9310,-8.9407,-5.7220,-11.8911,-14.6627,35.0475,-1.1623,4.8280
0.196000,11.8017,-14.0369,-5.3644,-16.8085,-7.1526,33.0806,-8.2254,-5.1856
0.200000,1.7881,-16.2721,-2.5034,-15.2886,11.4441,26.9115,-20.2060,-21.1895
0.204000,3.4869,-14.6627,-1.1623,-8.4937,18.0602,23.5140,-25.3022,-26.3751
0.208000,5.7220,-13.2322,-3.4869,-9.2983,18.2390,14.4839,-28.5208,-27.3585
0.212000,9.2089,-11.2653,-2.9504,-7.5996,14.6627,1.0729,-25.9280,-28.2526
0.216000,15.7356,-2.7716,-0.8047,-5.9009,10.8182,-8.8513,-21.7259,-25.4810
0.220000,21.0106,-2.4140,8.4043,-7.7784,13.4110,-17.2555,-14.2157,-20.0272
0.224000,25.8386,-0.6258,19.4907,-5.6326,13.2322,-21.1000,-9.8348,-9.2983
0.228000,28.8785,-0.0894,24.7657,-6.7055,6.0797,-24.5869,-6.3479,0.1788
0.232000,30.1301,-3.0398,25.3916,-5.5432,0.4470,-27.0903,-5.8115,6.8843
0.236000,27.8056,-0.0000,21.3683,-3.8445,-5.7220,-26.4645,2.8610,12.7852
0.240000,23.3352,2.2352,20.1166,0.0000,-4.3809,-25.2128,9.3877,17.5238
0.244000,19.7589,7.7784,20.7424,5.3644,-5.9903,-26.7327,11.1759,18.4178
0.248000,13.5899,8.0466,16.9873,9.2983,-9.2983,-25.8386,8.9407,21.1000
0.252000,7.5996,7.3314,10.8182,13.5005,-14.9310,-21.6365,6.7055,23.8717
0.256000,4.6492,9.8348,1.8775,15.2886,-19.8483,-19.7589,7.5996,27.4479
0.260000,3.8445,19.5801,-1.7881,19.5801,-22.5306,-14.8416,17.3450,30.5772
0.264000,5.1856,26.1068,-0.7153,17.0767,-23.9611,-9.8348,21.0106,30.1301
0.268000,2.4140,25.1234,-1.0729,11.3547,-28.6102,-6.8843,14.7521,27.3585
0.272000,-0.0894,18.3284,-1.9670,5.6326,-32.5441,-4.0233,6.9737,27.3585
0.276000,2.9504,13.9475,-1.7881,1.7881,-34.6005,7.3314,1.4305,27.6268
0.280000,7.5102,12.6958,-1.9670,-0.3576,-31.6501,17.7026,-0.2682,25.8386
0.284000,6.2585,12.2488,-1.9670,-5.3644,-27.7162,24.7657,-2.2352,20.1166
0.288000,0.3576,7.2420,0.6258,-12.3382,-21.2789,30.8454,-9.9242,11.5335
0.292000,-8.8513,-0.8941,-1.2517,-15.4674,-17.6132,34.6899,-24.8551,3.6657
0.296000,-11.0865,-10.9971,-2.0564,-11.8017,-10.1924,31.9183,-33.9746,-6.3479
0.300000,-12.4276,-11.1759,-1.4305,-7.7784,1.0729,25.5704,-33.9746,-20.2954
0.304000,-14.4839,-3.3975,3.1292,-4.3809,4.6492,19.3119,-30.3090,-27.7162
0.308000,-13.4110,-4.2021,6.3479,-8.1360,7.5996,10.5500,-28.0738,-32.5441
0.312000,-12.9640,-4.2021,7.3314,-8.6725,3.6657,-1.6987,-24.1399,-36.1204
0.316000,-5.7220,-4.2915,5.6326,-7.5102,-0.5364,-8.0466,-20.3848,-30.6666
0.320000,6.4373,0.5364,12.6958,-5.2750,-2.5034,-8.4937,-11.0865,-24.4081
0.324000,14.9310,5.8115,20.7424,-5.0962,-4.0233,-11.5335,-1.4305,-19.2225
0.328000,15.1098,7.1526,23.1564,-9.6560,-6.6161,-17.3450,3.0398,-19.8483
0.332000,13.0534,1.6093,23.3352,-11.4441,-14.8416,-16.9873,3.5763,-15.7356
0.336000,8.4937,-0.2682,21.6365,-9.3877,-17.7920,-14.3945,4.7386,-10.9076
0.340000,12.1593,2.5928,17.7026,1.6093,-18.5072,-11.0865,10.9971,-3.4869
0.344000,12.2488,8.3148,11.6229,5.9903,-18.8649,-7.6890,18.1496,3.2187
0.348000,7.5996,12.8746,5.2750,6.7055,-18.6861,-12.6958,20.6530,10.0136
0.352000,-2.5928,16.0038,-4.2915,6.6161,-18.6861,-12.5170,16.5403,6.8843
0.356000,-7.9572,18.1496,-9.9242,8.4937,-20.8318,-10.3712,15.7356,10.0136
0.360000,-7.3314,24.8551,-18.5072,13.8581,-22.9776,-4.8280,16.7191,15.9144
0.364000,-1.9670,29.1467,-23.1564,15.3780,-25.3916,4.5598,19.4013,19.1331
0.368000,1.4305,32.8124,-26.3751,8.4937,-23.1564,5.9903,16.8979,18.8649
0.372000,-2.7716,24.4975,-29.2361,-0.3576,-20.3848,9.1195,11.6229,12.9640
0.376000,-3.0398,21.1895,-27.9844,-4.9174,-15.8250,14.3945,4.2915,8.2254
0.380000,1.2517,15.1098,-25.5704,-6.6161,-6.8843,24.1399,-1.9670,11.9805
0.384000,3.2187,11.3547,-30.3090,-5.3644,0.8047,30.2196,-8.7619,11.9805
0.388000,2.4140,11.9805,-29.1467,-7.1526,8.4937,28.6996,-14.0369,5.4538
0.392000,-5.8115,7.7784,-30.5772,-11.3547,17.7026,30.4878,-21.4577,-3.6657
0.396000,-11.7123,4.7386,-24.3187,-11.3547,26.1962,25.0340,-28.4314,-12.6064
0.400000,-12.9640,5.8115,-18.3284,-2.4140,34.0641,16.4509,-34.2429,-18.8649
0.404000,-7.8678,14.9310,-16.0038,2.5928,37.1933,13.2322,-28.8785,-17.4344
0.408000,-2.3246,18.9543,-10.8182,0.5364,34.6899,0.5364,-25.5704,-21.1895
0.412000,1.6987,18.6861,-5.0962,-5.8115,30.4878,-10.8182,-23.8717,-20.9212
0.416000,0.8047,19.1331,6.7949,-9.9242,27.8056,-19.8483,-19.2225,-20.7424
0.420000,8.2254,18.3284,9.7454,-10.2818,23.0670,-20.2954,-9.9242,-12.1593
0.424000,11.8911,17.6132,13.4110,-10.6394,21.2789,-17.1661,-5.7220,-0.0894
0.428000,10.1924,17.4344,14.9310,-11.8911,12.0699,-20.0272,-0.6258,5.0962
0.432000,4.6492,14.7521,11.2653,-11.9805,5.0962,-22.7988,3.1292,4.1127
0.436000,2.5034,10.4606,11.0865,-11.0865,3.1292,-23.0670,7.2420,8.8513
0.440000,-2.9504,16.2721,10.1030,-5.9903,0.1788,-14.9310,14.0369,14.1263
0.444000,-2.3246,21.0106,5.9009,1.6987,-2.2352,-7.5996,18.2390,17.1661
0.448000,-1.8775,19.7589,-3.5763,8.4937,-8.6725,-4.0233,21.9941,21.3683
0.452000,-3.5763,17.8814,-10.3712,0.9835,-20.5636,-0.6258,25.8386,18.0602
0.456000,-4.2915,20.0272,-10.6394,-4.7386,-25.8386,0.0000,27.2691,16.9873
0.460000,-2.3246,22.7094,-10.3712,-8.4937,-26.2856,4.5598,31.3818,17.9708
0.464000,0.2682,21.6365,-10.1924,-10.6394,-23.0670,16.4509,28.8785,20.7424
0.468000,7.6890,17.0767,-9.1195,-12.0699,-26.5539,27.5373,27.8950,23.1564
0.472000,12.1593,12.8746,-12.0699,-16.5403,-27.6268,34.4217,19.5801,22.9776
0.476000,10.5500,9.3877,-11.0865,-21.0106,-22.7094,39.1603,11.3547,16.0038
0.480000,11.5335,2.8610,-8.7619,-17.9708,-9.6560,47.3857,6.4373,12.3382
0.484000,10.9076,-1.6093,-5.6326,-19.8483,-0.5364,48.2798,2.7716,7.5102
0.488000,7.4208,-7.5102,-7.5996,-16.5403,4.7386,45.8658,-2.2352,0.0894
0.492000,4.3809,-13.1428,-14.0369,-14.3945,7.8678,39.6073,-8.3148,-8.8513
0.496000,6.2585,-14.2157,-16.0933,-10.9076,7.5996,32.8124,-10.1924,-17.2555
0.500000,13.8581,-8.6725,-9.5665,-11.6229,12.3382,18.3284,-4.7386,-27.4479
0.504000,22.2623,-6.3479,-3.3975,-12.7852,12.9640,9.6560,-0.3576,-24.4081
0.508000,28.6102,-6.8843,-4.5598,-14.5733,10.6394,4.3809,2.5034,-19.3119
0.512000,36.8357,-5.1856,-1.2517,-15.6462,6.9737,-4.1127,10.1030,-17.6132
0.516000,40.5908,-3.4869,-3.3081,-19.4013,6.1691,-9.3877,19.4907,-11.9805
0.520000,36.2992,-0.5364,0.9835,-19.1331,6.7949,-13.8581,23.8717,-1.7881
0.524000,36.8357,-1.9670,3.3975,-13.2322,8.8513,-14.0369,25.1234,6.6161
0.528000,31.3818,-8.1360,1.8775,-9.1195,5.0962,-16.5403,26.5539,18.4178
0.532000,27.5373,-7.1526,-8.5831,-3.3975,-0.5364,-15.1098,26.1068,21.5471
0.536000,22.7988,-5.3644,-12.6064,4.4703,-4.2915,-16.1827,29.5937,24.3187
0.540000,17.3450,-2.8610,-13.0534,10.9076,-3.1292,-15.5568,36.2992,25.8386
0.544000,15.9144,0.4470,-15.4674,10.6394,-2.5928,-14.2157,37.8191,27.0009
0.548000,10.1030,2.7716,-17.6132,11.1759,-6.1691,-11.0865,31.5607,27.5373
0.552000,11.3547,3.6657,-25.7492,10.2818,-12.9640,-6.7055,25.3022,26.6433
0.556000,13.9475,6.7055,-28.2526,7.9572,-17.6132,-0.9835,26.6433,24.5869
0.560000,15.8250,10.2818,-25.6598,8.0466,-18.5072,7.5102,25.5704,23.8717
0.564000,15.0204,10.3712,-21.1000,3.2187,-13.7687,14.7521,21.3683,20.0272
0.568000,10.7288,5.9903,-16.0933,2.9504,-9.1195,20.2060,14.9310,17.5238
0.572000,6.6161,-4.9174,-17.1661,-0.9835,-9.4771,24.1399,7.0632,8.1360
0.576000,4.3809,-11.6229,-15.0204,1.6093,-7.3314,32.9018,-2.0564,7.5102
0.580000,5.4538,-13.3216,-11.0865,6.9737,-0.9835,39.7861,-5.0962,4.2021
0.584000,3.7551,-11.1759,-4.8280,10.4606,9.1195,41.8425,-8.9407,-4.0233
0.588000,0.8047,-13.4110,0.8047,9.0301,16.0933,37.5509,-16.3615,-15.3780
0.592000,-3.3975,-18.4178,3.6657,8.6725,16.7191,30.7560,-22.2623,-24.3187
0.596000,-2.6822,-16.8085,0.5364,9.0301,19.9378,20.9212,-25.1234,-27.1797
0.600000,7.3314,-9.1195,8.3148,10.5500,16.0933,8.5831,-12.6958,-29.9513
0.604000,10.9076,-2.1458,16.6297,7.8678,14.9310,2.2352,-6.9737,-28.7890
0.608000,11.7123,0.6258,20.1166,2.5034,10.9971,-2.1458,-1.6093,-26.7327
0.612000,17.2555,-3.3975,21.2789,4.2915,2.1458,-5.0068,2.1458,-25.2128
0.616000,18.3284,-4.2021,18.1496,5.7220,-2.5034,-6.7055,8.0466,-19.2225
0.620000,18.9543,-3.9339,18.7755,12.7852,-5.0068,-2.3246,17.9708,-9.4771
0.624000,21.1895,-1.9670,18.9543,17.9708,-7.5102,-1.4305,28.2526,-1.6093
0.628000,13.6793,-4.0233,17.6132,21.2789,-10.9971,-4.6492,31.6501,1.8775
0.632000,6.9737,-7.2420,9.1195,20.7424,-14.2157,-7.0632,28.8785,4.2915
0.636000,5.5432,-3.6657,-0.3576,23.6034,-16.3615,-5.8115,28.7890,5.5432
0.640000,10.1924,1.9670,-4.6492,27.0009,-19.8483,-2.4140,33.6170,11.2653
0.644000,14.1263,5.5432,-8.7619,21.7259,-23.0670,2.0564,37.6403,18.8649
0.648000,11.3547,8.4937,-12.6064,14.3945,-27.0009,-0.0000,35.6734,21.5471
0.652000,10.0136,9.3877,-17.7026,4.6492,-29.2361,1.6987,30.9348,18.2390
0.656000,11.8911,9.2983,-16.4509,-4.6492,-35.0475,7.9572,27.0009,19.5801
0.660000,18.8649,7.3314,-11.8017,-6.3479,-36.3886,20.2954,26.4645,23.3352
0.664000,18.6861,6.6161,-10.0136,-7.3314,-30.3090,31.9183,28.9679,26.0174
0.668000,14.7521,7.0632,-8.1360,-9.4771,-24.3187,33.4382,20.2060,20.7424
0.672000,5.6326,0.7153,-5.8115,-17.4344,-20.8318,34.1535,11.4441,11.1759
0.676000,-1.2517,-9.0301,-6.0797,-19.7589,-11.4441,37.0145,-0.1788,5.0068
0.680000,-1.6093,-11.0865,-2.8610,-13.7687,-1.3411,40.4119,-7.6890,1.4305
0.684000,0.1788,-8.6725,-0.9835,-3.3975,3.4869,39.3391,-14.9310,-3.5763
0.688000,-3.7551,-5.6326,-0.8941,-4.1127,8.3148,33.4382,-14.9310,-10.0136
0.692000,-5.8115,-4.2915,-0.2682,-6.7949,9.4771,19.4013,-16.8979,-21.1000
0.696000,-5.6326,0.5364,2.6822,-7.7784,9.1195,10.5500,-21.3683,-29.2361
0.700000,6.3479,8.9407,10.0136,-9.5665,6.6161,-0.1788,-15.9144,-24.6763
0.704000,11.6229,15.1992,12.2488,-3.3081,4.9174,-1.0729,-9.7454,-17.7920
0.708000,12.5170,20.8318,18.0602,-7.0632,4.3809,-10.1030,-0.6258,-14.4839
0.712000,5.6326,22.3517,20.6530,-11.2653,-0.1788,-15.5568,-0.6258,-13.3216
0.716000,4.6492,19.1331,22.9776,-9.1195,-0.4470,-17.3450,-3.9339,-8.0466
0.720000,5.5432,16.8979,26.1962,-0.9835,-3.7551,-14.7521,3.2187,0.5364
0.724000,5.2750,15.5568,21.3683,8.8513,-5.1856,-11.9805,7.5996,14.1263
0.728000,-1.5199,11.7123,16.8085,15.0204,-12.4276,-10.7288,8.1360,14.0369
0.732000,-8.2254,13.2322,15.2886,13.0534,-20.0272,-15.7356,5.8115,12.4276
0.736000,-14.4839,11.8911,10.6394,13.4110,-21.6365,-18.0602,4.8280,13.0534
0.740000,-14.3945,14.4839,9.0301,19.4907,-23.4246,-14.7521,4.1127,15.5568
0.744000,-7.5102,13.1428,4.2021,21.7259,-25.8386,-6.7055,6.7949,16.0933
0.748000,-3.8445,12.6958,-1.3411,19.4907,-32.1865,-0.8047,8.3148,12.8746
0.752000,-3.4869,17.8814,-2.7716,14.1263,-34.1535,1.2517,4.0233,7.6890
0.756000,-9.8348,17.7920,1.2517,7.3314,-31.2030,10.0136,1.4305,5.8115
0.760000,-9.8348,17.7026,7.2420,4.3809,-26.2856,21.7259,1.8775,3.3081
0.764000,-12.5170,11.6229,10.6394,3.2187,-17.7920,36.1204,0.9835,3.2187
0.768000,-15.5568,1.6093,11.2653,3.9339,-14.0369,42.0213,-4.7386,-6.7055
0.772000,-20.3848,-5.3644,8.7619,1.2517,-10.5500,42.7365,-7.1526,-13.5899
0.776000,-22.9776,-9.3877,7.0632,-0.0000,-7.2420,39.6967,-10.3712,-21.3683
0.780000,-21.9047,-9.9242,12.9640,0.3576,-2.5928,37.7297,-14.0369,-31.2030
0.784000,-21.0106,-15.5568,15.1098,3.9339,2.4140,37.4615,-17.1661,-36.7463
0.788000,-21.0106,-15.7356,15.1992,1.1623,1.3411,34.0641,-21.9941,-40.2331
0.792000,-19.5801,-17.9708,14.9310,-2.1458,-5.8115,22.3517,-23.2458,-48.9056
0.796000,-13.2322,-12.6958,20.2954,-4.6492,-5.0068,14.8416,-18.7755,-50.7832
0.800000,-3.5763,-5.6326,31.8289,-14.6627,-6.3479,3.6657,-1.8775,-42.8259
0.804000,2.7716,-1.8775,36.9251,-17.8814,-3.2187,3.3975,1.3411,-33.8852
0.808000,2.5034,-0.5364,37.7297,-14.1263,-2.9504,-0.0894,2.6822,-27.5373
0.812000,1.4305,-8.2254,32.1865,-11.0865,-10.1924,-5.4538,5.9009,-18.5072
0.816000,2.1458,-9.6560,28.1632,-8.0466,-10.8182,-9.3877,12.1593,-11.0865
0.820000,1.5199,-3.4869,28.2526,-4.4703,-8.9407,-6.5267,18.2390,-1.4305
0.824000,2.6822,0.0894,29.5937,-0.8941,-7.3314,-4.8280,21.0106,6.0797
0.828000,-1.9670,-2.1458,18.6861,2.5034,-9.2089,-4.2021,16.8085,9.7454
0.832000,-1.4305,-1.3411,7.5996,4.7386,-19.7589,-7.5102,13.5899,11.4441
0.836000,-0.3576,-0.1788,-1.0729,5.6326,-25.5704,-5.7220,14.4839,10.6394
0.840000,4.5598,4.2915,1.1623,2.0564,-23.5140,-3.4869,14.4839,8.0466
0.844000,7.1526,10.6394,0.2682,0.8047,-21.5471,0.9835,17.8814,9.4771
0.848000,10.4606,5.2750,2.8610,-5.6326,-21.9941,8.8513,11.1759,12.5170
0.852000,10.4606,2.6822,-2.2352,-13.8581,-23.2458,16.7191,7.0632,10.9971
0.856000,9.3877,2.4140,-0.1788,-16.8085,-22.7988,27.8056,1.6987,9.9242
0.860000,7.8678,6.1691,3.5763,-20.3848,-16.1827,33.7064,1.1623,6.2585
0.864000,2.5928,2.5034,5.1856,-21.7259,-5.5432,38.3556,-4.8280,6.4373
0.868000,-7.5996,-1.4305,6.3479,-18.7755,6.4373,36.8357,-12.4276,2.6822
0.872000,-10.9076,-8.8513,0.5364,-14.8416,11.0865,33.0806,-21.7259,-4.8280
0.876000,-12.6958,-13.7687,2.3246,-9.4771,15.9144,27.9844,-26.2856,-13.6793
0.880000,-8.3148,-11.1759,4.2021,-2.6822,22.0835,24.7657,-25.7492,-17.7920
0.884000,-5.3644,-4.7386,9.2089,2.2352,28.2526,21.4577,-24.8551,-22.6200
0.888000,-5.9009,-0.8047,13.7687,-0.2682,31.1136,14.6627,-28.3420,-29.4149
0.892000,-2.5034,-0.3576,17.6132,0.1788,29.7725,9.4771,-28.6996,-30.8454
0.896000,1.6987,-3.8445,20.6530,0.8941,25.3022,6.0797,-22.6200,-26.2856
0.900000,14.3051,9.5665,35.3158,0.1788,23.0670,-1.2517,-4.9174,-15.4674
0.904000,16.7191,13.2322,41.4848,-0.3576,23.6928,-4.2021,2.7716,-7.1526
0.908000,11.4441,12.3382,42.6471,2.8610,23.7823,-8.6725,3.3975,0.7153
0.912000,7.0632,9.2983,37.9980,9.3877,18.3284,-12.4276,6.9737,5.1856
0.916000,3.2187,6.1691,30.1301,18.4178,11.7123,-11.0865,8.4043,11.9805
0.920000,2.4140,9.5665,24.5869,28.1632,3.0398,-13.1428,17.9708,17.1661
0.924000,1.8775,13.9475,26.5539,30.4878,1.6987,-13.7687,23.2458,18.5966
0.928000,-4.5598,10.8182,22.5306,29.4149,-0.6258,-16.4509,20.1166,17.7920
0.932000,-4.8280,9.0301,14.6627,22.8882,-7.9572,-15.1992,17.9708,20.6530
0.936000,-0.9835,5.4538,12.8746,20.8318,-14.7521,-9.2983,17.1661,21.8153
0.940000,6.2585,5.1856,10.6394,19.0437,-18.7755,0.2682,21.4577,19.8483
0.944000,9.3877,8.0466,13.6793,14.5733,-15.0204,8.1360,24.0505,15.9144
0.948000,11.5335,8.9407,15.8250,4.5598,-13.7687,14.9310,24.8551,10.5500
0.952000,5.0962,3.5763,16.4509,-4.3809,-10.2818,22.5306,20.2060,6.1691
0.956000,3.6657,-1.6093,15.4674,-10.9076,-7.0632,28.4314,11.4441,6.6161
0.960000,7.3314,-4.2021,15.8250,-5.2750,-3.3081,37.9086,5.7220,5.0068
0.964000,7.6890,-6.6161,17.0767,0.3576,4.5598,39.0708,3.1292,0.7153
0.968000,3.8445,-14.1263,17.8814,-1.2517,11.8911,34.0641,-3.2187,-6.4373
0.972000,-2.6822,-22.5306,13.8581,-5.9009,14.7521,29.1467,-9.2983,-18.5072
0.976000,0.0000,-23.1564,8.0466,-5.6326,18.4178,25.7492,-21.4577,-21.9047
0.980000,5.6326,-22.3517,9.0301,-6.8843,20.9212,21.9941,-20.7424,-20.2060
0.984000,16.4509,-21.1895,11.8017,-5.7220,23.2458,16.7191,-17.0767,-20.1166
0.988000,19.6695,-18.0602,12.0699,-6.1691,24.1399,5.3644,-17.5238,-21.9047
0.992000,21.0106,-15.9144,19.9378,-13.4110,19.5801,-3.7551,-14.2157,-19.1331
0.996000,22.6200,-14.3051,23.2458,-14.3945,15.6462,-8.1360,-7.6890,-13.5899
1.000000,28.7890,-10.1924,28.6102,-11.8017,12.8746,-10.9971,7.1526,2.5928
1.004000,32.4547,-6.4373,33.7958,-7.9572,9.1195,-10.9076,17.8814,8.3148
1.008000,28.9679,-3.0398,34.1535,-3.6657,5.1856,-18.9543,25.5704,14.8416
1.012000,22.1729,-5.1856,27.8950,-2.5034,1.5199,-24.3187,21.9941,18.1496
1.016000,17.7026,-6.8843,18.6861,5.0068,1.6987,-25.1234,15.9144,26.5539
1.020000,19.6695,-8.2254,13.8581,11.0865,-1.0729,-23.6928,16.1827,33.0806
1.024000,25.2128,-7.6890,8.2254,18.4178,-4.1127,-22.8882,17.6132,39.1603
1.028000,27.8056,-7.9572,2.0564,17.0767,-10.4606,-23.6928,14.5733,38.5344
1.032000,27.3585,-5.4538,-2.6822,12.0699,-16.4509,-20.3848,16.0038,29.4149
1.036000,26.4645,-2.1458,-3.3975,5.2750,-21.9047,-14.3051,12.2488,28.5208
1.040000,27.1797,0.0894,2.3246,-0.0894,-21.9941,-5.8115,10.9971,34.3323
1.044000,29.2361,0.4470,1.0729,0.2682,-22.1729,6.3479,9.5665,34.3323
1.048000,28.0738,-3.7551,3.8445,-4.7386,-20.1166,13.9475,12.6958,30.5772
1.052000,23.6928,-6.7949,4.5598,-9.4771,-14.2157,15.7356,8.6725,27.8056
1.056000,13.7687,-12.1593,6.0797,-12.8746,-3.0398,20.8318,4.7386,19.4013
1.060000,8.2254,-13.6793,6.5267,-10.1030,6.4373,27.2691,-3.4869,11.6229
1.064000,8.1360,-18.0602,6.1691,0.5364,15.8250,31.1136,-10.0136,8.3148
1.068000,7.3314,-24.4975,6.7055,6.5267,20.0272,26.6433,-16.8979,1.5199
1.072000,7.2420,-30.3090,5.9903,7.7784,20.2954,18.5966,-19.7589,-9.2983
1.076000,6.7055,-31.6501,9.0301,5.0068,22.8882,11.8911,-23.6034,-22.6200
1.080000,9.1195,-27.5373,14.8416,7.5996,25.8386,9.1195,-20.8318,-25.3916
1.084000,17.8814,-24.8551,18.6861,6.7055,27.4479,6.8843,-18.7755,-22.0835
1.088000,25.4810,-24.7657,22.7094,4.0233,23.7823,0.6258,-14.9310,-21.9941
1.092000,27.0009,-23.8717,26.8221,-0.5364,19.4013,-5.2750,-8.4043,-22.9776
1.096000,28.6102,-17.6132,30.3090,-4.5598,13.4110,-12.0699,1.4305,-21.1000
1.100000,24.3187,-9.8348,37.4615,-2.1458,6.6161,-11.8911,13.5005,-1.5199
1.104000,20.9212,-5.5432,35.2263,-1.2517,10.1924,-10.5500,17.5238,8.8513
1.108000,16.9873,-8.8513,27.3585,9.0301,3.0398,-11.5335,22.0835,13.6793
1.112000,15.1098,-13.9475,17.0767,10.6394,-1.2517,-14.3051,20.4742,16.2721
1.116000,9.9242,-14.3945,12.3382,8.4937,-3.1292,-17.3450,18.1496,18.3284
1.120000,9.6560,-11.7123,8.0466,9.1195,-6.5267,-14.8416,16.8979,21.5471
1.124000,11.3547,-9.2983,4.3809,11.1759,-9.4771,-7.5996,18.5072,24.6763
1.128000,12.9640,-12.9640,-2.8610,8.1360,-12.1593,-1.1623,13.5899,26.2856
1.132000,14.7521,-17.4344,-7.6890,1.6093,-19.1331,2.0564,10.2818,25.3022
1.136000,17.1661,-16.3615,-11.1759,-0.8941,-23.2458,7.1526,11.4441,23.5140
1.140000,15.1992,-15.5568,-6.1691,-10.4606,-19.8483,20.0272,11.4441,24.5869
